contig_id,cluster_id
NODE_6259_length_1233_cov_1.813243,2
NODE_1528_length_2780_cov_2.292477,27
NODE_8740_length_1034_cov_1.752809,3
NODE_9291_length_1002_cov_1.752904,20
NODE_5774_length_1286_cov_3.601137,24
NODE_2767_length_1924_cov_2.692349,21
NODE_7900_length_1090_cov_1.888889,20
NODE_4154_length_1541_cov_1.713997,6
NODE_3733_length_1632_cov_3.155358,16
NODE_6717_length_1189_cov_1.635802,28
NODE_5003_length_1391_cov_4.387725,10
NODE_4928_length_1402_cov_2.295471,3
NODE_7394_length_1130_cov_1.797209,28
NODE_672_length_4950_cov_5.135444,27
NODE_555_length_5578_cov_3.938620,21
NODE_1747_length_2538_cov_2.859041,2
NODE_4168_length_1538_cov_2.444370,7
NODE_6020_length_1258_cov_2.080632,3
NODE_7166_length_1148_cov_1.924062,28
NODE_8107_length_1077_cov_1.970646,6
NODE_1220_length_3221_cov_3.590967,27
NODE_1912_length_2394_cov_2.250534,3
NODE_4970_length_1397_cov_1.970194,20
NODE_7301_length_1137_cov_2.576710,2
NODE_2799_length_1912_cov_2.277329,20
NODE_8049_length_1081_cov_1.520468,28
NODE_1585_length_2712_cov_2.581859,7
NODE_8923_length_1023_cov_2.221074,28
NODE_226_length_11598_cov_3.807329,30
NODE_1203_length_3249_cov_4.365999,21
NODE_9110_length_1012_cov_1.774295,28
NODE_5639_length_1305_cov_2.297600,24
NODE_5351_length_1341_cov_3.316485,27
NODE_5257_length_1353_cov_1.211864,28
NODE_3327_length_1733_cov_2.151967,6
NODE_8306_length_1063_cov_3.126984,21
NODE_6878_length_1173_cov_2.327370,20
NODE_5560_length_1316_cov_1.556701,24
NODE_1060_length_3551_cov_3.365561,6
NODE_63_length_32152_cov_6.596722,27
NODE_2212_length_2199_cov_1.718284,20
NODE_5847_length_1279_cov_2.842320,11
NODE_5409_length_1334_cov_2.130571,24
NODE_209_length_12490_cov_7.928187,29
NODE_9155_length_1009_cov_2.051363,28
NODE_8968_length_1020_cov_2.668394,7
NODE_8857_length_1027_cov_1.600823,6
NODE_1316_length_3078_cov_3.058220,21
NODE_1648_length_2644_cov_3.371958,21
NODE_9077_length_1014_cov_1.992701,3
NODE_8229_length_1068_cov_3.318855,31
NODE_8867_length_1026_cov_2.621009,2
NODE_6545_length_1205_cov_1.055652,17
NODE_8261_length_1066_cov_2.335312,20
NODE_5035_length_1388_cov_1.798950,2
NODE_4505_length_1474_cov_1.536998,28
NODE_8622_length_1042_cov_1.741641,2
NODE_8386_length_1058_cov_2.954138,28
NODE_1249_length_3175_cov_2.968590,7
NODE_2559_length_2005_cov_3.402051,6
NODE_1245_length_3178_cov_4.701249,0
NODE_3202_length_1769_cov_2.103851,28
NODE_6769_length_1184_cov_1.410983,28
NODE_5805_length_1284_cov_1.917819,2
NODE_6155_length_1243_cov_2.710438,7
NODE_4973_length_1397_cov_1.573025,28
NODE_7127_length_1151_cov_2.397810,24
NODE_2384_length_2103_cov_1.915039,28
NODE_6327_length_1226_cov_1.269001,2
NODE_5276_length_1350_cov_2.663320,11
NODE_7215_length_1145_cov_1.910092,20
NODE_2564_length_2004_cov_2.673679,31
NODE_3054_length_1814_cov_2.424673,7
NODE_784_length_4467_cov_4.656392,0
NODE_3066_length_1811_cov_1.954442,6
NODE_2259_length_2172_cov_3.263581,2
NODE_7462_length_1125_cov_1.742056,17
NODE_3059_length_1813_cov_1.489761,28
NODE_6899_length_1171_cov_2.465054,3
NODE_1471_length_2854_cov_2.731690,16
NODE_8821_length_1029_cov_2.032854,28
NODE_7169_length_1148_cov_1.495883,24
NODE_8223_length_1069_cov_2.000986,28
NODE_1513_length_2797_cov_2.277170,7
NODE_1830_length_2468_cov_2.797348,16
NODE_7046_length_1158_cov_1.784225,28
NODE_1170_length_3306_cov_2.742541,7
NODE_7665_length_1109_cov_2.438330,7
NODE_8054_length_1080_cov_2.709268,11
NODE_5129_length_1375_cov_1.544697,28
NODE_7925_length_1088_cov_1.888674,20
NODE_3988_length_1574_cov_3.152732,6
NODE_8668_length_1039_cov_1.403455,21
NODE_6586_length_1201_cov_2.328970,28
NODE_1750_length_2534_cov_3.691004,11
NODE_24_length_61955_cov_6.723586,30
NODE_8938_length_1023_cov_1.479339,28
NODE_5515_length_1321_cov_2.912322,2
NODE_8996_length_1018_cov_3.507788,21
NODE_8528_length_1048_cov_1.875126,7
NODE_8048_length_1081_cov_1.658869,7
NODE_2943_length_1852_cov_1.990540,3
NODE_2244_length_2182_cov_3.877762,21
NODE_3920_length_1591_cov_1.707682,3
NODE_1467_length_2860_cov_3.574688,7
NODE_1044_length_3620_cov_5.174194,27
NODE_7820_length_1097_cov_1.525912,20
NODE_3976_length_1576_cov_3.142669,7
NODE_5510_length_1322_cov_1.920284,20
NODE_8167_length_1073_cov_2.825147,16
NODE_5542_length_1318_cov_4.469517,6
NODE_92_length_24820_cov_10.083384,29
NODE_1754_length_2532_cov_3.180057,29
NODE_6595_length_1200_cov_2.307424,7
NODE_7975_length_1085_cov_2.345631,20
NODE_7038_length_1158_cov_3.270172,21
NODE_1149_length_3360_cov_3.865356,11
NODE_2939_length_1853_cov_2.195217,3
NODE_7539_length_1118_cov_2.758231,9
NODE_6107_length_1250_cov_1.461925,28
NODE_569_length_5506_cov_4.258485,30
NODE_1920_length_2391_cov_2.341610,6
NODE_8575_length_1045_cov_1.525253,28
NODE_6732_length_1188_cov_1.455428,3
NODE_2101_length_2265_cov_3.500905,21
NODE_8358_length_1060_cov_1.868657,31
NODE_2251_length_2178_cov_4.187471,21
NODE_2753_length_1928_cov_2.935398,21
NODE_3007_length_1829_cov_2.118377,31
NODE_1703_length_2578_cov_2.544986,20
NODE_223_length_11779_cov_4.647646,30
NODE_9079_length_1014_cov_1.770594,6
NODE_9159_length_1009_cov_1.798742,20
NODE_36_length_44807_cov_4.872922,0
NODE_4758_length_1432_cov_1.301380,9
NODE_7524_length_1120_cov_1.553991,6
NODE_6912_length_1170_cov_2.693274,16
NODE_2519_length_2028_cov_2.598581,7
NODE_6000_length_1261_cov_4.646766,21
NODE_4530_length_1469_cov_3.214993,21
NODE_271_length_9994_cov_9.023041,29
NODE_1848_length_2450_cov_4.448017,21
NODE_4897_length_1408_cov_1.747228,20
NODE_2338_length_2127_cov_3.187741,2
NODE_2309_length_2142_cov_3.160038,11
NODE_1059_length_3553_cov_1.734991,20
NODE_4559_length_1465_cov_2.865957,6
NODE_2999_length_1831_cov_1.924550,6
NODE_1202_length_3250_cov_3.167136,11
NODE_6184_length_1241_cov_2.100337,3
NODE_8984_length_1019_cov_2.422199,2
NODE_752_length_4586_cov_7.965791,2
NODE_1514_length_2796_cov_3.470631,30
NODE_7355_length_1133_cov_1.537106,28
NODE_7320_length_1136_cov_1.609621,28
NODE_5732_length_1293_cov_1.840872,28
NODE_8509_length_1049_cov_2.323944,3
NODE_8226_length_1069_cov_1.461538,28
NODE_5462_length_1328_cov_1.983504,2
NODE_3597_length_1667_cov_2.378412,21
NODE_5867_length_1277_cov_2.634206,16
NODE_3072_length_1809_cov_2.374572,20
NODE_7155_length_1149_cov_1.842779,2
NODE_8762_length_1033_cov_1.603272,20
NODE_5357_length_1340_cov_2.214008,20
NODE_1237_length_3193_cov_3.679095,11
NODE_7529_length_1119_cov_1.867481,20
NODE_8726_length_1035_cov_1.734694,28
NODE_3593_length_1670_cov_1.655728,28
NODE_5339_length_1342_cov_2.845377,11
NODE_4339_length_1505_cov_1.956552,28
NODE_539_length_5703_cov_3.563385,30
NODE_7447_length_1126_cov_1.563025,20
NODE_7170_length_1147_cov_3.740842,11
NODE_4930_length_1402_cov_2.220490,20
NODE_1204_length_3249_cov_1.988416,20
NODE_3061_length_1812_cov_3.071713,3
NODE_4979_length_1395_cov_1.882836,20
NODE_1222_length_3219_cov_5.960177,2
NODE_3147_length_1788_cov_14.522793,9
